,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
107,20.807698845863342,0.10316823933985449,0.20740938186645508,0.001530108429412135,9,5,6,120,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 120}",0.8868650793650794,0.8888888888888888,0.8890476190476191,0.8879365079365079,0.8881845238095238,0.0008722827910567007,1
92,20.92246413230896,0.09866984630236764,0.20176547765731812,0.0035455517820853957,9,3,2,120,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 120}",0.8878968253968254,0.8888492063492064,0.8889880952380952,0.8868055555555555,0.8881349206349206,0.000874930260331338,2
127,15.757535099983215,0.10550009597869213,0.1743868589401245,0.003881839888956167,10,5,2,80,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}",0.888154761904762,0.8876190476190476,0.8890277777777778,0.8875595238095239,0.8880902777777778,0.0005888170534951786,3
161,28.157142996788025,0.2242385412558631,0.2930765151977539,0.016630783633408606,11,5,6,120,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 120}",0.8866269841269842,0.8889880952380952,0.8893452380952381,0.8869444444444444,0.8879761904761905,0.001202403871121084,4
98,21.056567192077637,0.10989888886050152,0.2035561203956604,0.003252543452540339,9,3,6,120,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 120}",0.8883531746031746,0.8875793650793651,0.8881944444444444,0.8877380952380952,0.8879662698412698,0.0003176152895552092,5
101,21.023869454860687,0.0782730380774006,0.2103767991065979,0.004318630780009968,9,5,2,120,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 120}",0.8885912698412698,0.8875793650793651,0.8881349206349206,0.8873809523809524,0.887921626984127,0.00047523362032807594,6
119,23.726328015327454,0.08154724357264484,0.23313724994659424,0.005259598504513164,10,3,2,120,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 120}",0.8864880952380952,0.8879563492063492,0.8893055555555556,0.8879166666666667,0.8879166666666667,0.0009964190102769665,7
133,15.780688285827637,0.07045801625979929,0.17199724912643433,0.005160301249997717,10,5,6,80,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}",0.8867261904761905,0.8888492063492064,0.8888095238095238,0.8871230158730159,0.8878769841269842,0.0009627617129374305,8
134,23.45074850320816,0.028534684435131966,0.24136430025100708,0.0058809366745506,10,5,6,120,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 120}",0.8874801587301587,0.8882142857142857,0.8884325396825397,0.8871626984126985,0.8878224206349206,0.000519177261308306,9
154,19.428644597530365,0.09601913229909914,0.2130306363105774,0.00810489488787366,11,5,2,80,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}",0.8871626984126985,0.8887103174603175,0.88875,0.8865277777777778,0.8877876984126984,0.0009689266301236948,10
94,14.25402945280075,0.13078610671150584,0.15167874097824097,0.0039944409255198345,9,3,4,80,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}",0.8869246031746032,0.8883531746031746,0.888452380952381,0.8872619047619048,0.887748015873016,0.0006664570012328788,11
112,16.40363645553589,0.06113897694064043,0.1734880805015564,0.004545796327568491,10,1,4,80,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}",0.8875793650793651,0.8867857142857143,0.8886309523809524,0.8879960317460317,0.8877480158730159,0.0006699918255913769,12
118,15.969010472297668,0.09246649693023312,0.16963201761245728,0.003362182367164794,10,3,2,80,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}",0.8883134920634921,0.8872619047619048,0.8886507936507937,0.8867658730158731,0.8877480158730159,0.0007641465242718866,12
128,23.440612494945526,0.09658983060769209,0.23989075422286987,0.0043040993166908,10,5,2,120,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 120}",0.8874206349206349,0.8870634920634921,0.8894841269841269,0.886984126984127,0.8877380952380953,0.001021391879066139,14
95,20.94221603870392,0.04899482707420908,0.20001018047332764,0.0036663146855509744,9,3,4,120,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 120}",0.8863492063492063,0.8888095238095238,0.8892261904761904,0.8864880952380952,0.8877182539682539,0.0013088472278152388,15
130,15.841796159744263,0.034686467601545354,0.17260050773620605,0.0024437874526494125,10,5,4,80,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}",0.8870238095238095,0.8879166666666667,0.8886111111111111,0.8871825396825397,0.8876835317460318,0.000632649553053735,16
