,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
48,2.6950049996376038,0.04617479408552743,0.3371315002441406,0.00525229796695234,16,8,9,50,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 50}",0.8945039682539683,0.8952777777777777,0.8943253968253968,0.8946230158730158,0.8946825396825397,0.00035961446349982247,93
24,2.7877227663993835,0.02530717289172514,0.3435896039009094,0.01701178692718193,14,9,9,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 50}",0.8942460317460318,0.895813492063492,0.8940079365079365,0.8944642857142857,0.8946329365079365,0.0007004417900040983,94
33,5.071772813796997,0.02876648802149174,0.6360190510749817,0.010021985819673451,14,9,11,100,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 100}",0.8940674603174603,0.8958333333333334,0.8949603174603175,0.8936507936507937,0.8946279761904762,0.0008414868271755071,95
64,2.78940349817276,0.04453291536083708,0.3354281783103943,0.009690263252558716,16,9,10,50,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.8949007936507937,0.8951785714285714,0.8949206349206349,0.893234126984127,0.8945585317460316,0.0007724569732012344,96
44,2.5733216404914856,0.026950198301242026,0.3337767720222473,0.008894132542347818,16,7,11,50,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 50}",0.8937103174603175,0.8960119047619047,0.8946825396825396,0.89375,0.8945386904761905,0.0009353191228746282,97
25,5.17923766374588,0.017608406581804084,0.6465328931808472,0.016724370970044772,14,9,9,100,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 100}",0.893452380952381,0.8958531746031746,0.8939285714285714,0.8946626984126984,0.8944742063492064,0.0009053904284430719,98
9,4.769943594932556,0.04136743782874733,0.6105599999427795,0.005783680825733304,14,7,11,100,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 100}",0.8946825396825396,0.8957142857142857,0.8940277777777778,0.8933531746031746,0.8944444444444444,0.0008708712836251628,99
12,2.536826014518738,0.0571615379095474,0.3246862292289734,0.007424403307470374,14,8,9,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 50}",0.8944444444444445,0.895,0.8946825396825396,0.893234126984127,0.8943402777777777,0.0006683556116850976,100
13,4.819110095500946,0.04736864703901745,0.6255326867103577,0.012247359315133212,14,8,9,100,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 100}",0.894265873015873,0.8962896825396826,0.8939087301587302,0.8923015873015873,0.8941914682539682,0.00141947438353436,101
8,2.571802258491516,0.026861885605267328,0.3291921019554138,0.007311471989420157,14,7,11,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 50}",0.8926587301587302,0.8963293650793651,0.8938888888888888,0.8935515873015873,0.8941071428571429,0.0013594528053438135,102
32,2.8435935974121094,0.043415034706489414,0.3274502158164978,0.003298699538088182,14,9,11,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 50}",0.8934920634920634,0.8954960317460318,0.8944642857142857,0.8928174603174603,0.8940674603174603,0.0010114183393597604,103
16,2.6387091279029846,0.019599039305079682,0.31167495250701904,0.003997507677295846,14,8,10,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.8942063492063492,0.8956349206349207,0.8937103174603175,0.891984126984127,0.8938839285714286,0.001304733225725646,104
28,2.798241078853607,0.052513896186138324,0.3355787396430969,0.008227608552990713,14,9,10,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.8935119047619048,0.8950396825396826,0.89375,0.893234126984127,0.8938839285714286,0.0006917998111975841,104
4,2.9122111797332764,0.035361138932600115,0.3291469216346741,0.007529714869755204,14,7,10,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.8934920634920634,0.895515873015873,0.8931944444444444,0.893234126984127,0.893859126984127,0.000963323790253168,106
0,2.964899778366089,0.059902358149443585,0.32436227798461914,0.006762723266660871,14,7,9,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 50}",0.8932936507936508,0.8953373015873016,0.8938293650793651,0.8929563492063493,0.8938541666666666,0.000911119990381776,107
20,2.4763086438179016,0.03511490987312606,0.30892670154571533,0.00892655577471063,14,8,11,50,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 50}",0.8929563492063493,0.8942857142857142,0.8933333333333333,0.8921428571428571,0.8931795634920634,0.0007700323717562192,108
